Router 1 RSSI,Router 2 RSSI,Router 3 RSSI,1-1
-31,-61,-79
-30,-62,-80
-21,-63,-78
-23,-63,-78
-28,-63,-78
-30,-66,-79
-28,-63,-80
-23,-63,-81
-32,-62,-78
-32,-59,-76
Router 1 RSSI,Router 2 RSSI,Router 3 RSSI,Location: 
-52,-58,-100
-36,-55,-77
-35,-55,-77
-36,-55,-80
-34,-55,-76
-32,-54,-79
-31,-55,-78
-32,-55,-76
-37,-55,-78
-34,-55,-77
Router 1 RSSI,Router 2 RSSI,Router 3 RSSI,Location: 
-30,-58,-73
-20,-59,-76
-24,-59,-76
-32,-59,-77
-30,-58,-76
-23,-57,-78
-31,-56,-75
-30,-57,-76
-30,-58,-73
-32,-57,-71
Router 1 RSSI,Router 2 RSSI,Router 3 RSSI,Location: 
-30,-60,-73
-23,-55,-75
-29,-62,-76
-23,-57,-71
-22,-56,-76
-30,-56,-75
-23,-57,-69
-30,-57,-71
-23,-57,-72
-30,-57,-72
Router 1 RSSI,Router 2 RSSI,Router 3 RSSI,Location: 1
-30,-58,-72
-31,-58,-76
-30,-58,-74
-23,-60,-74
-30,-58,-78
-30,-58,-77
-23,-58,-75
Router 1 RSSI,Router 2 RSSI,Router 3 RSSI,Location: 12
-47,-75,-100
-49,-76,-100
-49,-75,-100
-50,-77,-100
-51,-73,-92
-51,-76,-100
-50,-74,-90
-51,-77,-91
-52,-77,-90
-51,-77,-97
Router 1 RSSI,Router 2 RSSI,Router 3 RSSI,Location: 1-1
-50,-74,-100
-52,-81,-100
-53,-80,-96
-53,-81,-99
-53,-82,-96
-54,-82,-96
-52,-81,-100
-52,-80,-97
-53,-82,-100
-53,-81,-97
